windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels
159.0,1.0,7.0,7.0,0.0,0.0,0.3533593350214213,0.6918238993710691,0.0,0.0,31.98,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,167.699382,86400.0,11648.267969,86400.0,59.355255,11632.315225,170.745791,86400.0,2270.034264,86400.0,2
32.0,1.0,6.0,6.0,5.0,6.0,0.8812908992306927,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.090000000000002,24.260000000000005,0.0,0.0,0.0,0.0,584.153329,585.15045,86400.0,570.451684,86400.0,0.0,0.321381,574.908659,86400.0,726.6759,86400.0,3
31.0,1.0,6.0,6.0,5.0,6.0,0.8366407419411673,0.6774193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.170000000000002,25.18,0.0,0.0,0.0,0.0,777.349985,776.835243,86400.0,125.799377,86400.0,0.0,0.575675,431.757272,86400.0,456.653756,86400.0,1
31.0,1.0,6.0,6.0,7.0,7.0,0.9709505944546686,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76,0.0,20.590000000000003,0.0,0.0,0.0,632.961015,423.090398,86400.0,40.467565,86400.0,1.156089,40.558418,0.0,86400.0,419.616937,86400.0,0
34.0,1.0,6.0,6.0,6.0,6.0,1.5058231002082845,0.5294117647058824,11.0,0.0,0.0,0.0,0.0,7.140000000000001,0.0,0.0,15.56,11.650000000000002,0.0,0.0,0.0,179.802593,180.759713,86400.0,7.659367,86400.0,33.174238,0.0,14.033559,86400.0,178.034675,86400.0,4
59.0,1.0,0.0,0.0,0.0,0.0,0.9182958340544896,0.4067796610169492,0.0,0.0,22.710000000000004,0.0,0.0,0.0,0.0,11.64,0.0,0.0,0.0,0.0,0.0,0.0,428.967738,86400.0,646.823766,86400.0,19.321791,647.588982,307.596319,86400.0,604.534375,86400.0,5
24.0,0.0,6.0,0.0,6.0,6.0,0.7219280948873623,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.880000000000002,27.47000000000001,0.0,0.0,0.0,0.0,71.907977,72.845185,86400.0,9008.449428,86400.0,0.071556,0.0,63.021119,86400.0,70.498883,86400.0,1
148.0,0.0,6.0,6.0,5.0,6.0,0.6500224216483541,0.4797297297297297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,28.90000000000001,0.0,0.0,0.0,0.0,317.609071,318.24412,86400.0,304.820991,86400.0,0.0,0.042737,309.860432,86400.0,491.834571,86400.0,3
68.0,1.0,0.0,0.0,0.0,0.0,0.3533593350214213,0.6176470588235294,0.0,0.0,31.84,0.0,0.0,0.0,0.0,2.5100000000000007,0.0,0.0,0.0,0.0,0.0,0.0,685.636094,86400.0,9363.633327,86400.0,55.521326,4173.01552,879.507715,86400.0,9377.797283,86400.0,5
53.0,0.0,6.0,0.0,6.0,6.0,0.7219280948873623,0.4528301886792453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.150000000000001,27.200000000000006,0.0,0.0,0.0,0.0,146.949722,147.591502,86400.0,131.550184,86400.0,0.057231,0.0,135.613081,86400.0,143.259176,86400.0,1
